index	loc	a	A	b	B	h	H	u	U
163	CN_S000008M1324180	6	115	0	0	11	98	0	4
164	CN_S000008M1380936	7	111	0	0	8	104	0	4
165	CN_S000008M1700314	35	86	0	0	28	77	0	8
166	CN_S000008M1700419	22	98	0	0	27	78	0	9
167	CN_S000008M1771716	10	112	0	0	11	97	0	4
168	CN_S000008M1776744	14	108	0	0	9	102	0	1
169	CN_S000008M2014549	9	111	0	0	8	102	0	4
170	CN_S000008M2128186	27	90	0	0	20	89	0	8
171	CN_S000008M2128516	5	115	0	0	11	99	0	4
172	CN_S000008M2201709	7	111	0	0	3	110	0	3
173	CN_S000008M2385130	28	90	0	0	28	85	3	0
174	CN_S000008M2395102	1	118	0	0	2	110	0	3
175	CN_S000008M2454270	8	110	0	0	14	96	0	6
176	CN_S000008M2536348	0	109	0	0	0	104	21	0
177	CN_S000008M2574903	2	116	0	0	10	101	0	5
178	CN_S000008M2578578	6	113	0	0	11	98	0	6
179	CN_S000008M2578587	4	116	0	0	11	97	0	6
180	CN_S000008M2631459	10	113	0	0	18	87	1	5
181	CN_S000008M2700793	10	113	0	0	13	92	1	5
182	CN_S000008M2795081	25	93	0	0	14	94	0	8
183	CN_S000008M2800816	8	109	0	0	7	103	1	6
184	CN_S000008M2886884	26	91	0	0	25	81	1	10
185	CN_S000008M3193169	17	100	0	0	22	88	0	7
186	CN_S000008M3332121	6	115	0	0	11	97	0	5
187	CN_S000008M3380434	6	115	0	0	6	103	0	4
188	CN_S000008M3394639	14	108	0	0	13	95	0	4
189	CN_S000008M3465619	12	111	0	0	7	101	0	3
190	CN_S000008M3474427	0	117	0	0	0	97	0	20
191	CN_S000009M862836	0	108	0	0	0	88	0	38
192	CN_S000012M261921	0	113	0	0	0	78	0	43
193	CN_S000012M389390	0	122	0	0	0	92	0	20
194	CN_S000012M487021	0	102	0	0	0	88	0	44
195	CN_S000015M566201	0	119	0	0	0	100	0	15
196	CN_S000015M567457	0	120	0	0	0	97	0	17
197	CN_S000024M76954	0	117	0	0	0	101	16	0
198	CN_S000025M68157	0	93	0	0	0	98	0	43
199	CN_S000025M355099	3	114	0	0	9	95	0	13
200	CN_S000025M733473	7	114	0	0	9	96	0	8
201	CN_S000025M834590	21	91	0	0	11	91	20	0
202	CN_S000025M834674	4	112	0	0	0	100	0	18
203	CN_S000025M834675	0	117	0	0	0	99	18	0
204	CN_S000025M919332	7	112	0	0	7	101	0	7
205	CN_S000025M1242931	9	107	0	0	6	105	0	7
206	CN_S000025M1254492	3	114	0	0	8	106	0	3
207	CN_S000025M1255588	22	94	0	0	28	82	0	8
208	CN_S000025M1259617	5	113	0	0	7	105	0	4
209	CN_S000025M1262651	15	98	0	0	22	86	0	13
210	CN_S000025M1619879	12	102	0	0	9	101	0	10
211	CN_S000025M1628527	26	85	0	0	29	78	16	0
212	CN_S000025M1628590	11	103	0	0	3	111	0	6
213	CN_S000025M1642632	17	95	0	0	27	87	0	8
214	CN_S000025M2390485	3	116	0	0	6	106	3	0
215	CN_S000025M2965146	17	98	0	0	23	85	0	11
216	CN_S000025M2983880	8	115	0	0	10	96	0	5
217	CN_S000025M2995606	0	111	0	0	0	103	0	20
218	CN_S000027M32646	0	124	0	0	0	86	0	24
219	CN_S000027M36501	18	107	0	0	14	74	21	0
220	CN_S000027M104036	5	120	0	0	5	93	0	11
221	CN_S000027M124297	0	108	0	0	0	80	0	46
222	CN_S000029M533709	0	118	0	0	0	109	0	7
223	CN_S000029M1524873	0	100	0	0	0	82	0	52
224	CN_S000030M506378	0	94	0	0	0	84	0	56
225	CN_S000030M506409	16	88	0	0	9	91	0	30
226	CN_S000030M2276345	6	104	0	0	6	107	0	11
227	CN_S000030M2284798	24	88	0	0	10	91	0	21
228	CN_S000030M3959582	0	136	0	0	0	81	0	17
229	CN_S000032M111998	0	113	0	0	0	102	0	19
230	CN_S000032M124348	8	110	0	0	8	104	0	4
231	CN_S000032M125701	6	114	0	0	10	101	0	3
232	CN_S000032M128231	11	107	0	0	14	100	0	2
233	CN_S000032M474820	6	114	0	0	4	108	0	2
234	CN_S000032M675968	9	117	0	0	35	69	0	4
235	CN_S000032M1891111	6	113	0	0	5	101	0	9
236	CN_S000032M2720269	0	113	0	0	0	71	0	50
237	CN_S000034M249514	0	92	0	0	0	110	0	32
238	CN_S000034M254600	2	87	0	0	11	118	16	0
239	CN_S000034M328816	6	84	0	0	14	122	0	8
240	CN_S000034M377857	8	87	0	0	20	113	0	6
241	CN_S000034M377958	0	89	0	0	0	128	0	17
242	CN_S000038M3727006	0	119	0	0	0	97	0	18
243	CN_S000042M11713	0	79	0	0	0	91	0	64
244	CN_S000042M54739	4	117	0	0	42	53	0	18
245	CN_S000042M54755	2	109	0	0	4	118	0	1
246	CN_S000042M106103	10	101	0	0	11	111	0	1
247	CN_S000042M273060	21	86	0	0	31	91	0	5
248	CN_S000042M274275	9	97	0	0	18	106	0	4
249	CN_S000042M274358	4	99	0	0	13	112	0	6
250	CN_S000042M281411	8	96	0	0	5	117	0	8
251	CN_S000042M342543	6	101	0	0	15	100	12	0
252	CN_S000042M630779	20	89	0	0	32	86	0	7
253	CN_S000042M630864	7	98	0	0	7	113	1	8
254	CN_S000042M867709	6	100	0	0	6	117	1	4
255	CN_S000042M920633	3	105	0	0	9	108	9	0
256	CN_S000042M1123256	6	99	0	0	9	110	1	9
257	CN_S000042M1142403	9	102	0	0	11	103	1	8
258	CN_S000042M1337702	13	100	0	0	18	92	1	10
259	CN_S000042M1384517	11	102	0	0	13	94	1	13
260	CN_S000042M1422631	0	99	0	0	0	101	0	34
261	CN_S000044M139174	0	105	0	0	0	108	0	21
262	CN_S000044M478669	0	104	0	0	0	99	0	31
263	CN_S000044M533285	0	79	0	0	0	87	0	68
264	CN_S000044M1012729	0	85	0	0	0	86	0	63
265	CN_S000046M93458	0	109	0	0	0	114	0	11
266	CN_S000046M345854	22	95	0	0	25	84	0	8
267	CN_S000046M346239	19	96	0	0	15	95	0	9
268	CN_S000046M1561766	0	111	0	0	0	116	7	0
269	CN_S000050M43618	0	116	0	0	0	96	0	22
270	CN_S000050M46100	0	110	0	0	0	101	0	23
271	CN_S000051M73525	0	126	0	0	0	91	0	17
272	CN_S000053M40345	0	101	0	0	0	95	0	38
273	CN_S000053M131192	0	112	0	0	0	103	0	19
274	CN_S000053M233359	0	103	0	0	0	109	0	22
275	CN_S000054M127296	0	110	0	0	0	92	32	0
276	CN_S000054M206919	9	108	0	0	5	98	0	14
277	CN_S000054M207415	3	126	0	0	14	87	4	0
278	CN_S000054M372104	10	117	0	0	11	84	12	0
279	CN_S000054M372194	2	128	0	0	4	91	0	9
280	CN_S000054M465123	0	96	0	0	0	77	0	61
281	CN_S000055M282690	2	100	0	0	0	91	41	0
282	CN_S000055M1966802	0	93	0	0	0	93	0	48
283	CN_S000059M56254	0	110	0	0	0	105	19	0
284	CN_S000059M72177	8	114	0	0	59	43	10	0
285	CN_S000059M76088	8	109	0	0	11	97	0	9
286	CN_S000059M211098	3	113	0	0	3	106	9	0
287	CN_S000059M280705	5	113	0	0	21	85	0	10
288	CN_S000059M292371	15	96	0	0	16	97	0	10
289	CN_S000059M499840	17	95	0	0	23	89	0	10
290	CN_S000059M523083	6	105	0	0	11	101	11	0
291	CN_S000059M570110	9	104	0	0	10	102	0	9
292	CN_S000059M591444	5	112	0	0	4	103	0	10
293	CN_S000059M591486	10	107	0	0	4	103	0	10
294	CN_S000059M694916	7	114	0	0	10	97	0	6
295	CN_S000059M878527	25	89	0	0	32	74	0	14
296	CN_S000059M884498	19	92	0	0	20	87	0	16
297	CN_S000059M1029565	0	104	0	0	0	106	0	24
298	CN_S000062M106499	0	99	0	0	0	70	0	65
299	CN_S000062M241968	4	118	0	0	6	100	0	6
300	CN_S000062M279885	23	96	0	0	20	75	0	20
301	CN_S000062M328983	9	102	0	0	19	79	0	25
302	CN_S000062M441694	0	85	0	0	0	89	60	0
303	CN_S000067M106339	0	112	0	0	0	104	0	18
304	CN_S000069M4348	0	124	0	0	0	83	0	27
305	CN_S000069M131438	0	102	0	0	0	85	0	47
306	CN_S000070M206218	0	174	0	0	0	43	0	17
307	CN_S000071M73604	0	85	0	0	0	80	0	69
308	CN_S000071M137737	12	101	0	0	14	77	0	30
309	CN_S000071M241644	2	115	0	0	5	103	0	9
310	CN_S000071M331981	4	120	0	0	12	94	0	4
311	CN_S000071M396536	18	101	0	0	22	86	7	0
312	CN_S000071M513252	3	114	0	0	3	110	0	4
313	CN_S000071M523089	14	105	0	0	9	92	0	14
314	CN_S000071M523123	9	111	0	0	8	92	14	0
315	CN_S000071M707730	7	111	0	0	4	94	0	18
316	CN_S000071M720555	0	118	0	0	0	94	0	22
317	CN_S000073M600104	0	110	0	0	0	95	0	29
318	CN_S000074M33800	0	110	0	0	0	117	7	0
319	CN_S000074M33920	16	103	0	0	9	99	0	7
320	CN_S000074M34422	12	101	0	0	16	91	0	14
321	CN_S000074M49485	13	105	0	0	18	80	1	17
322	CN_S000074M79414	5	116	0	0	16	86	1	10
323	CN_S000074M79476	32	95	0	0	19	76	0	12
324	CN_S000074M209434	6	123	0	0	6	92	0	7
325	CN_S000074M220746	30	96	0	0	21	82	0	5
326	CN_S000074M432696	7	118	0	0	13	94	0	2
327	CN_S000074M487249	9	119	0	0	8	97	0	1
328	CN_S000074M516843	11	117	0	0	12	91	0	3
329	CN_S000074M691407	7	119	0	0	8	95	5	0
330	CN_S000074M884090	10	115	0	0	7	97	5	0
331	CN_S000074M884171	7	118	0	0	6	98	0	5
332	CN_S000074M943104	11	112	0	0	12	96	0	3
333	CN_S000074M943159	6	117	0	0	12	96	0	3
334	CN_S000074M1047829	14	111	0	0	11	95	0	3
335	CN_S000074M1060201	8	118	0	0	10	95	1	2
336	CN_S000074M1071501	17	107	0	0	17	89	1	3
337	CN_S000074M1082843	13	115	0	0	11	92	0	3
338	CN_S000074M1090588	10	116	0	0	4	100	1	3
339	CN_S000074M1093048	23	101	0	0	18	85	1	6
340	CN_S000074M1166865	5	119	0	0	6	100	0	4
341	CN_S000074M1177397	17	103	0	0	15	94	0	5
342	CN_S000074M1336730	17	105	0	0	15	90	0	7
343	CN_S000074M1501774	15	107	0	0	8	95	0	9
344	CN_S000074M1572110	7	118	0	0	11	90	8	0
345	CN_S000074M1595057	10	116	0	0	1	102	1	4
346	CN_S000074M1699054	22	101	0	0	8	93	1	9
347	CN_S000074M1712307	19	106	0	0	13	92	4	0
348	CN_S000074M1805057	9	115	0	0	8	102	0	0
349	CN_S000074M1808258	3	120	0	0	4	107	0	0
350	CN_S000074M1867410	7	117	0	0	9	100	0	1
351	CN_S000074M1941792	16	107	0	0	17	90	0	4
352	CN_S000074M2007957	14	106	0	0	20	89	1	4
353	CN_S000074M2061802	4	119	0	0	13	96	1	1
354	CN_S000074M2336730	15	105	0	0	13	99	0	2
355	CN_S000074M2774536	11	111	0	0	7	105	0	0
356	CN_S000074M2788742	11	111	0	0	7	103	0	2
357	CN_S000074M2957364	8	114	0	0	15	94	0	3
358	CN_S000074M2964487	7	116	0	0	4	103	0	4
359	CN_S000074M2992971	0	96	0	0	0	70	0	68
360	CN_S000077M47173	0	97	0	0	0	70	0	67
361	CN_S000077M456487	0	110	0	0	0	100	0	24
362	CN_S000077M459338	0	92	0	0	0	73	0	69
363	CN_S000079M212946	0	110	0	0	0	99	0	25
364	CN_S000079M428854	20	99	0	0	26	70	0	19
365	CN_S000079M462355	5	118	0	0	11	91	0	9
366	CN_S000079M546291	10	103	0	0	11	94	0	16
367	CN_S000079M546997	0	101	0	0	0	91	0	42
368	CN_S000080M58024	0	85	0	0	0	79	0	70
369	CN_S000080M89369	16	94	0	0	15	79	30	0
370	CN_S000080M184629	4	110	0	0	4	97	0	19
371	CN_S000080M187556	0	101	0	0	0	77	0	56
372	CN_S000081M1001076	0	100	0	0	0	91	0	43
373	CN_S000085M2529040	0	110	0	0	0	101	0	23
374	CN_S000091M137632	0	126	0	0	0	94	0	14
375	CN_S000093M55366	0	89	0	0	0	91	0	54
376	CN_S000093M59444	5	102	0	0	8	112	0	7
377	CN_S000093M284602	5	101	0	0	12	106	1	9
378	CN_S000093M578507	20	86	0	0	40	76	1	11
379	CN_S000093M708998	1	105	0	0	1	122	5	0
380	CN_S000093M726012	25	86	0	0	17	88	18	0
381	CN_S000093M823884	8	97	0	0	11	103	0	15
382	CN_S000093M823955	4	104	0	0	3	119	0	4
383	CN_S000093M865465	23	88	0	0	27	81	0	15
384	CN_S000093M867455	0	96	0	0	0	111	0	27
385	CN_S000094M127506	0	115	0	0	0	103	0	16
386	CN_S000094M271288	2	112	0	0	8	108	0	4
387	CN_S000094M300654	6	114	0	0	18	91	0	5
388	CN_S000094M517667	8	108	0	0	5	109	1	3
389	CN_S000094M647988	2	109	0	0	7	105	2	9
390	CN_S000094M786738	11	106	0	0	21	82	1	13
391	CN_S000094M888296	21	93	0	0	20	85	15	0
392	CN_S000094M1176203	6	111	0	0	22	83	0	12
393	CN_S000094M1219939	31	86	0	0	14	94	0	9
394	CN_S000094M1304390	14	101	0	0	5	112	0	2
395	CN_S000094M1365361	13	104	0	0	13	100	0	4
396	CN_S000094M1419316	4	110	0	0	20	95	0	5
397	CN_S000094M1576864	6	106	0	0	3	117	0	2
398	CN_S000094M1621464	13	100	0	0	22	84	15	0
399	CN_S000094M1658488	2	109	0	0	6	108	9	0
400	CN_S000094M1700558	2	110	0	0	14	105	0	3
401	CN_S000094M1700668	10	102	0	0	7	113	0	2
402	CN_S000094M1703942	18	99	0	0	24	81	0	12
403	CN_S000094M1881815	9	106	0	0	12	94	0	13
404	CN_S000094M1894335	11	107	0	0	23	77	1	15
405	CN_S000094M2151204	18	90	0	0	19	78	1	28
406	CN_S000094M2723215	10	100	0	0	5	110	0	9
407	CN_S000094M3126758	23	89	0	0	25	85	12	0
408	CN_S000094M3271397	2	113	0	0	12	98	0	9
409	CN_S000094M3525644	9	107	0	0	24	82	12	0
410	CN_S000094M3545689	4	109	0	0	5	108	0	8
411	CN_S000094M3605680	25	90	0	0	21	86	0	12
412	CN_S000094M3611877	8	108	0	0	16	93	0	9
413	CN_S000094M3695599	15	98	0	0	21	92	0	8
414	CN_S000094M3917279	2	109	0	0	2	102	0	19
415	CN_S000094M3917314	0	112	0	0	0	103	19	0
416	CN_S000097M157752	0	111	0	0	0	107	0	16
417	CN_S000098M311549	0	115	0	0	0	89	0	30
418	CN_S000098M311641	0	106	0	0	0	79	0	49
419	CN_S000107M627252	0	122	0	0	0	100	0	12
420	CN_S000113M256125	0	116	0	0	0	104	0	14
421	CN_S000113M401860	24	98	0	0	20	70	22	0
422	CN_S000113M446410	8	111	0	0	5	92	0	18
423	CN_S000113M566521	20	98	0	0	16	82	0	18
424	CN_S000113M650247	14	101	0	0	21	74	24	0
425	CN_S000113M748491	4	112	0	0	9	99	10	0
426	CN_S000113M918518	5	112	0	0	11	101	0	5
427	CN_S000113M946728	8	109	0	0	13	99	0	5
428	CN_S000113M992574	9	109	0	0	12	101	1	2
429	CN_S000113M1356206	1	112	0	0	7	111	1	2
430	CN_S000113M1356282	0	108	0	0	0	116	10	0
431	CN_S000113M1356293	11	97	0	0	0	116	0	10
432	CN_S000113M1533968	3	112	0	0	14	99	0	6
433	CN_S000113M1610444	7	104	0	0	17	96	0	10
434	CN_S000113M1623694	10	102	0	0	11	104	0	7
435	CN_S000113M1858966	13	97	0	0	26	91	0	7
436	CN_S000113M1879429	9	102	0	0	15	103	0	5
437	CN_S000113M1944358	8	104	0	0	10	108	0	4
438	CN_S000113M1944412	7	107	0	0	13	97	0	10
439	CN_S000113M1968593	21	88	0	0	24	82	0	19
440	CN_S000113M1983932	0	109	0	0	0	101	24	0
441	CN_S000113M1984187	3	110	0	0	4	111	0	6
442	CN_S000113M1993375	26	91	0	0	36	68	0	13
443	CN_S000113M2101030	6	105	0	0	10	99	0	14
444	CN_S000113M2101118	14	96	0	0	16	85	0	23
445	CN_S000113M2103129	8	96	0	0	18	76	36	0
446	CN_S000113M2115072	21	89	0	0	9	96	0	19
447	CN_S000113M2455361	21	90	0	0	14	93	0	16
448	CN_S000113M2697822	17	96	0	0	21	83	1	16
449	CN_S000113M2737387	13	98	0	0	17	93	1	12
450	CN_S000113M2738193	4	105	0	0	6	109	10	0
451	CN_S000113M2995372	6	111	0	0	13	103	0	1
452	CN_S000113M3123068	14	99	0	0	10	108	0	3
453	CN_S000113M3173568	28	88	0	0	24	84	0	10
454	CN_S000113M3255849	10	113	0	0	16	88	0	7
455	CN_S000113M3299409	5	109	0	0	11	101	0	8
456	CN_S000113M3308084	0	104	0	0	0	108	0	22
457	CN_S000116M10140	0	116	0	0	0	91	0	27
458	CN_S000116M245360	0	116	0	0	0	107	0	11
459	CN_S000116M584699	0	107	0	0	0	102	0	25
460	CN_S000120M31668	0	124	0	0	0	84	0	26
461	CN_S000120M31729	2	129	0	0	6	81	16	0
462	CN_S000120M31760	4	125	0	0	28	66	0	11
463	CN_S000120M429555	22	89	0	0	20	84	0	19
464	CN_S000120M482616	10	102	0	0	10	104	0	8
465	CN_S000120M484454	20	92	0	0	19	93	0	10
466	CN_S000120M510862	8	106	0	0	6	103	0	11
467	CN_S000120M857129	0	101	0	0	0	92	0	41
468	CN_S000123M91286	0	118	0	0	0	109	0	7
469	CN_S000123M92739	0	102	0	0	0	83	0	49
470	CN_S000127M1326404	0	112	0	0	0	100	0	22
471	CN_S000127M1756216	0	113	0	0	0	91	0	30
472	CN_S000127M2448231	0	120	0	0	0	82	0	32
473	CN_S000133M23059	0	112	0	0	0	97	0	25
474	CN_S000133M75002	20	99	0	0	20	79	0	16
475	CN_S000133M75070	35	80	0	0	12	85	0	22
476	CN_S000133M145903	2	125	0	0	18	69	20	0
477	CN_S000133M158743	13	109	0	0	6	85	21	0
478	CN_S000133M173172	4	113	0	0	8	99	0	10
479	CN_S000133M347129	2	119	0	0	5	100	8	0
480	CN_S000133M347959	17	103	0	0	14	92	0	8
481	CN_S000133M348429	1	121	0	0	7	101	4	0
482	CN_S000133M763912	23	94	0	0	20	91	0	6
483	CN_S000133M783059	8	111	0	0	11	101	0	3
484	CN_S000133M909524	14	107	0	0	21	89	0	3
485	CN_S000133M970659	12	109	0	0	9	100	0	4
486	CN_S000133M1000991	4	114	0	0	6	106	4	0
487	CN_S000133M1034908	3	114	0	0	2	106	0	9
488	CN_S000133M1047635	0	108	0	0	0	92	0	34
489	CN_S000136M701534	0	103	0	0	0	101	0	30
