index	loc	scaffold	locus	posit	target	dist	f1	f2	signif	select	parent	swap	new_signif
36	CN_C69412907M172	CN_C69412907	CN_C69412907M172	172	CN_C69412907M178	17.5	0.0747863247863248	0	199	quasi-redundent	9185	no	199
37	CN_C69412907M178	CN_C69412907	CN_C69412907M178	178	CN_C69412907M172	17.5	0.0747863247863248	0	199	chosen	10990	no	199
38	CN_C69417205M1156	CN_C69417205	CN_C69417205M1156	1156	NA	NA	NA	NA	234	single		NA	234
39	CN_C69418499M1304	CN_C69418499	CN_C69418499M1304	1304	NA	NA	NA	NA	234	single		NA	234
40	CN_C69418981M1691	CN_C69418981	CN_C69418981M1691	1691	CN_C69418981M1734	4.5	0.0192307692307692	0	225	quasi-redundent	9187	no	225
41	CN_C69418981M1734	CN_C69418981	CN_C69418981M1734	1734	CN_C69418981M1691	4.5	0.0192307692307692	0	225	chosen	10990	no	225
42	CN_C69419019M946	CN_C69419019	CN_C69419019M946	946	CN_C69419019M1004	28.5	0.121794871794872	0.0317460317460317	189	small		NA	189
43	CN_C69419019M1004	CN_C69419019	CN_C69419019M1004	1004	CN_C69419019M1045	8	0.0341880341880342	0	218	quasi-redundent	13	no	219
44	CN_C69419019M1045	CN_C69419019	CN_C69419019M1045	1045	CN_C69419019M1004	8	0.0341880341880342	0	218	chosen	10990	no	219
45	CN_C69420507M1036	CN_C69420507	CN_C69420507M1036	1036	NA	NA	NA	NA	234	single		NA	234
46	CN_C69422831M1152	CN_C69422831	CN_C69422831M1152	1152	NA	NA	NA	NA	234	single		NA	234
47	CN_C69426005M639	CN_C69426005	CN_C69426005M639	639	NA	NA	NA	NA	234	single		NA	234
48	CN_C69426825M602	CN_C69426825	CN_C69426825M602	602	NA	NA	NA	NA	234	single		NA	234
49	CN_C69428203M1530	CN_C69428203	CN_C69428203M1530	1530	NA	NA	NA	NA	234	single		NA	234
50	CN_C69431191M734	CN_C69431191	CN_C69431191M734	734	NA	NA	NA	NA	234	single		NA	234
51	CN_C69431553M275	CN_C69431553	CN_C69431553M275	275	NA	NA	NA	NA	234	single		NA	234
52	CN_C69433325M1475	CN_C69433325	CN_C69433325M1475	1475	NA	NA	NA	NA	234	single		NA	234
53	CN_C69435965M1158	CN_C69435965	CN_C69435965M1158	1158	NA	NA	NA	NA	234	single		NA	234
54	CN_C69437345M495	CN_C69437345	CN_C69437345M495	495	NA	NA	NA	NA	234	single		NA	234
55	CN_C69441561M295	CN_C69441561	CN_C69441561M295	295	CN_C69441561M2143	28.5	0.121794871794872	0.0317460317460317	189	small		NA	189
56	CN_C69441561M2143	CN_C69441561	CN_C69441561M2143	2143	CN_C69441561M295	28.5	0.121794871794872	0.0317460317460317	189	small		NA	189
57	CN_C69442977M1228	CN_C69442977	CN_C69442977M1228	1228	CN_C69442977M1230	23	0.0982905982905983	0.00526315789473684	190	small		NA	190
58	CN_C69442977M1230	CN_C69442977	CN_C69442977M1230	1230	CN_C69442977M1228	23	0.0982905982905983	0.00526315789473684	190	small		NA	190
59	CN_C69444965M399	CN_C69444965	CN_C69444965M399	399	NA	NA	NA	NA	234	single		NA	234
60	CN_C69445645M1421	CN_C69445645	CN_C69445645M1421	1421	NA	NA	NA	NA	234	single		NA	234
61	CN_C69446626M850	CN_C69446626	CN_C69446626M850	850	NA	NA	NA	NA	234	single		NA	234
62	CN_C69447046M30	CN_C69447046	CN_C69447046M30	30	CN_C69447046M57	28.5	0.121794871794872	0	177	quasi-redundent	9193	no	177
63	CN_C69447046M57	CN_C69447046	CN_C69447046M57	57	CN_C69447046M30	28.5	0.121794871794872	0	177	chosen	10990	no	177
64	CN_C69450276M1234	CN_C69450276	CN_C69450276M1234	1234	NA	NA	NA	NA	234	single		NA	234
65	CN_C69456578M2356	CN_C69456578	CN_C69456578M2356	2356	CN_C69456578M2359	12	0.0512820512820513	0	210	quasi-redundent	15	no	210
66	CN_C69456578M2359	CN_C69456578	CN_C69456578M2359	2359	CN_C69456578M2356	12	0.0512820512820513	0	210	chosen	10990	no	210
67	CN_C69456578M2362	CN_C69456578	CN_C69456578M2362	2362	CN_C69456578M2356	12	0.0512820512820513	0	210	quasi-redundent	15	no	210
68	CN_C69456578M2374	CN_C69456578	CN_C69456578M2374	2374	CN_C69456578M2356	12	0.0512820512820513	0	210	quasi-redundent	15	no	210
69	CN_C69456578M2402	CN_C69456578	CN_C69456578M2402	2402	CN_C69456578M2356	12	0.0512820512820513	0	210	quasi-redundent	15	no	210
70	CN_C69456578M2509	CN_C69456578	CN_C69456578M2509	2509	CN_C69456578M2356	33.5	0.143162393162393	0.0486486486486487	185	small		NA	185
71	CN_C69458508M2257	CN_C69458508	CN_C69458508M2257	2257	NA	NA	NA	NA	234	single		NA	234
72	CN_C69462336M572	CN_C69462336	CN_C69462336M572	572	NA	NA	NA	NA	234	single		NA	234
73	CN_C69468058M748	CN_C69468058	CN_C69468058M748	748	NA	NA	NA	NA	234	single		NA	234
74	CN_C69468336M237	CN_C69468336	CN_C69468336M237	237	CN_C69468336M297	12	0.0512820512820513	0	210	quasi-redundent	21	no	210
75	CN_C69468336M297	CN_C69468336	CN_C69468336M297	297	CN_C69468336M237	12	0.0512820512820513	0	210	chosen	10990	no	210
76	CN_C69468336M301	CN_C69468336	CN_C69468336M301	301	CN_C69468336M237	12	0.0512820512820513	0	210	quasi-redundent	21	no	210
77	CN_C69469772M993	CN_C69469772	CN_C69469772M993	993	NA	NA	NA	NA	234	single		NA	234
78	CN_C69475228M832	CN_C69475228	CN_C69475228M832	832	NA	NA	NA	NA	234	single		NA	234
79	CN_C69476336M1400	CN_C69476336	CN_C69476336M1400	1400	NA	NA	NA	NA	234	single		NA	234
80	CN_C69477010M1196	CN_C69477010	CN_C69477010M1196	1196	NA	NA	NA	NA	234	single		NA	234
81	CN_C69484646M2333	CN_C69484646	CN_C69484646M2333	2333	CN_C69484646M2417	18.5	0.0790598290598291	0.0287081339712919	209	small		NA	209
82	CN_C69484646M2417	CN_C69484646	CN_C69484646M2417	2417	CN_C69484646M2333	18.5	0.0790598290598291	0.0287081339712919	209	small		NA	209
83	CN_C69485088M744	CN_C69485088	CN_C69485088M744	744	NA	NA	NA	NA	234	single		NA	234
84	CN_C69486454M1828	CN_C69486454	CN_C69486454M1828	1828	CN_C69486454M1834	11.5	0.0491452991452991	0	211	quasi-redundent	24	no	211
85	CN_C69486454M1834	CN_C69486454	CN_C69486454M1834	1834	CN_C69486454M1828	11.5	0.0491452991452991	0	211	chosen	10990	no	211
86	CN_C69486454M1867	CN_C69486454	CN_C69486454M1867	1867	CN_C69486454M1828	11.5	0.0491452991452991	0	211	quasi-redundent	24	no	211
87	CN_C69486454M1886	CN_C69486454	CN_C69486454M1886	1886	CN_C69486454M1828	11.5	0.0491452991452991	0	211	quasi-redundent	24	no	211
88	CN_C69486708M180	CN_C69486708	CN_C69486708M180	180	NA	NA	NA	NA	234	single		NA	234
89	CN_C69492126M89	CN_C69492126	CN_C69492126M89	89	NA	NA	NA	NA	234	single		NA	234
90	CN_C69492894M2166	CN_C69492894	CN_C69492894M2166	2166	CN_C69492894M2200	21	0.0897435897435897	0	192	chosen	NA	yes	198
91	CN_C69492894M2200	CN_C69492894	CN_C69492894M2200	2200	CN_C69492894M2166	21	0.0897435897435897	0	192	swaped	9196	yes	194
92	CN_C69493664M647	CN_C69493664	CN_C69493664M647	647	CN_C69493664M649	4.5	0.0192307692307692	0	225	chosen	NA	yes	227
93	CN_C69493664M649	CN_C69493664	CN_C69493664M649	649	CN_C69493664M647	4.5	0.0192307692307692	0	225	swaped	9198	yes	226
94	CN_C69497710M2320	CN_C69497710	CN_C69497710M2320	2320	NA	NA	NA	NA	234	single		NA	234
95	CN_C69498464M1938	CN_C69498464	CN_C69498464M1938	1938	NA	NA	NA	NA	234	single		NA	234
96	CN_C69500716M949	CN_C69500716	CN_C69500716M949	949	NA	NA	NA	NA	234	single		NA	234
97	CN_C69501198M1855	CN_C69501198	CN_C69501198M1855	1855	NA	NA	NA	NA	234	single		NA	234
98	CN_C69506794M2965	CN_C69506794	CN_C69506794M2965	2965	NA	NA	NA	NA	234	single		NA	234
99	CN_C69508555M2434	CN_C69508555	CN_C69508555M2434	2434	NA	NA	NA	NA	234	single		NA	234
100	CN_C69509737M489	CN_C69509737	CN_C69509737M489	489	NA	NA	NA	NA	234	single		NA	234
101	CN_C69512229M2265	CN_C69512229	CN_C69512229M2265	2265	CN_C69512229M2272	7.5	0.032051282051282	0	219	quasi-redundent	9201	no	219
102	CN_C69512229M2272	CN_C69512229	CN_C69512229M2272	2272	CN_C69512229M2265	7.5	0.032051282051282	0	219	chosen	10990	no	219
103	CN_C69512981M2119	CN_C69512981	CN_C69512981M2119	2119	CN_C69512981M2132	7.5	0.032051282051282	0	219	quasi-redundent	9203	no	219
104	CN_C69512981M2132	CN_C69512981	CN_C69512981M2132	2132	CN_C69512981M2119	7.5	0.032051282051282	0	219	chosen	10990	no	219
105	CN_C69515367M2026	CN_C69515367	CN_C69515367M2026	2026	NA	NA	NA	NA	234	single		NA	234
106	CN_C69516767M1247	CN_C69516767	CN_C69516767M1247	1247	NA	NA	NA	NA	234	single		NA	234
107	CN_C69519451M2985	CN_C69519451	CN_C69519451M2985	2985	NA	NA	NA	NA	234	single		NA	234
108	CN_C69519635M1163	CN_C69519635	CN_C69519635M1163	1163	CN_C69519635M1192	13.5	0.0576923076923077	0	207	quasi-redundent	9205	no	207
109	CN_C69519635M1192	CN_C69519635	CN_C69519635M1192	1192	CN_C69519635M1163	13.5	0.0576923076923077	0	207	chosen	10990	no	207
110	CN_C69520339M2876	CN_C69520339	CN_C69520339M2876	2876	NA	NA	NA	NA	234	single		NA	234
111	CN_C69521111M498	CN_C69521111	CN_C69521111M498	498	NA	NA	NA	NA	234	single		NA	234
112	CN_C69526373M1836	CN_C69526373	CN_C69526373M1836	1836	NA	NA	NA	NA	234	single		NA	234
113	CN_C69533481M142	CN_C69533481	CN_C69533481M142	142	NA	NA	NA	NA	234	single		NA	234
114	CN_C69534349M2065	CN_C69534349	CN_C69534349M2065	2065	NA	NA	NA	NA	234	single		NA	234
115	CN_C69536135M2975	CN_C69536135	CN_C69536135M2975	2975	NA	NA	NA	NA	234	single		NA	234
116	CN_C69539623M2665	CN_C69539623	CN_C69539623M2665	2665	CN_C69539623M2708	5	0.0213675213675214	0.00442477876106195	226	small		NA	226
117	CN_C69539623M2708	CN_C69539623	CN_C69539623M2708	2708	CN_C69539623M2665	5	0.0213675213675214	0.00442477876106195	226	small		NA	226
118	CN_C69539623M2799	CN_C69539623	CN_C69539623M2799	2799	CN_C69539623M2708	25	0.106837606837607	0.04	200	small		NA	200
119	CN_C69548151M1818	CN_C69548151	CN_C69548151M1818	1818	CN_C69548151M3394	44	0.188034188034188	0.0197368421052632	152	small		NA	152
120	CN_C69548151M3394	CN_C69548151	CN_C69548151M3394	3394	CN_C69548151M3443	28	0.11965811965812	0	178	quasi-redundent	32	no	200
121	CN_C69548151M3443	CN_C69548151	CN_C69548151M3443	3443	CN_C69548151M3394	28	0.11965811965812	0	178	chosen	10990	no	200
122	CN_C69548151M3475	CN_C69548151	CN_C69548151M3475	3475	CN_C69548151M3520	26.5	0.113247863247863	0	181	quasi-redundent	34	no	181
123	CN_C69548151M3520	CN_C69548151	CN_C69548151M3520	3520	CN_C69548151M3475	26.5	0.113247863247863	0	181	chosen	10990	no	181
124	CN_C69548151M3523	CN_C69548151	CN_C69548151M3523	3523	CN_C69548151M3475	26.5	0.113247863247863	0	181	quasi-redundent	34	no	181
125	CN_C69548151M3542	CN_C69548151	CN_C69548151M3542	3542	CN_C69548151M3475	26.5	0.113247863247863	0	181	quasi-redundent	34	no	181
126	CN_C69556603M2444	CN_C69556603	CN_C69556603M2444	2444	CN_C69556603M2459	14.5	0.061965811965812	0.00483091787439614	207	small		NA	207
127	CN_C69556603M2459	CN_C69556603	CN_C69556603M2459	2459	CN_C69556603M2444	14.5	0.061965811965812	0.00483091787439614	207	small		NA	207
128	CN_C69556603M3873	CN_C69556603	CN_C69556603M3873	3873	CN_C69556603M2444	23.5	0.10042735042735	0.0253807106598985	197	small		NA	197
129	CN_C69559091M3961	CN_C69559091	CN_C69559091M3961	3961	NA	NA	NA	NA	234	single		NA	234
130	CN_C69559361M2145	CN_C69559361	CN_C69559361M2145	2145	NA	NA	NA	NA	234	single		NA	234
131	CN_C69561503M521	CN_C69561503	CN_C69561503M521	521	NA	NA	NA	NA	234	single		NA	234
132	CN_C69561587M3554	CN_C69561587	CN_C69561587M3554	3554	CN_C69561587M3572	33	0.141025641025641	0	168	quasi-redundent	9207	no	168
133	CN_C69561587M3572	CN_C69561587	CN_C69561587M3572	3572	CN_C69561587M3554	33	0.141025641025641	0	168	chosen	10990	no	168
134	CN_C69570937M4099	CN_C69570937	CN_C69570937M4099	4099	NA	NA	NA	NA	234	single		NA	234
135	CN_C69574361M3108	CN_C69574361	CN_C69574361M3108	3108	NA	NA	NA	NA	234	single		NA	234
136	CN_C69576515M3686	CN_C69576515	CN_C69576515M3686	3686	NA	NA	NA	NA	234	single		NA	234
137	CN_C69576543M3251	CN_C69576543	CN_C69576543M3251	3251	CN_C69576543M3262	12.5	0.0534188034188034	0.004739336492891	211	small		NA	211
138	CN_C69576543M3262	CN_C69576543	CN_C69576543M3262	3262	CN_C69576543M3251	12.5	0.0534188034188034	0.004739336492891	211	small		NA	211
139	CN_C69583497M1942	CN_C69583497	CN_C69583497M1942	1942	NA	NA	NA	NA	234	single		NA	234
140	CN_C69594533M3569	CN_C69594533	CN_C69594533M3569	3569	NA	NA	NA	NA	234	single		NA	234
141	CN_C69595029M2599	CN_C69595029	CN_C69595029M2599	2599	NA	NA	NA	NA	234	single		NA	234
142	CN_C69595667M1808	CN_C69595667	CN_C69595667M1808	1808	NA	NA	NA	NA	234	single		NA	234
143	CN_C69597209M1491	CN_C69597209	CN_C69597209M1491	1491	CN_C69597209M2482	29.5	0.126068376068376	0.027027027027027	185	small		NA	185
144	CN_C69597209M2482	CN_C69597209	CN_C69597209M2482	2482	CN_C69597209M1491	29.5	0.126068376068376	0.027027027027027	185	small		NA	185
145	CN_C69598399M3083	CN_C69598399	CN_C69598399M3083	3083	CN_C69598399M3103	16	0.0683760683760684	0	202	quasi-redundent	9213	no	202
146	CN_C69598399M3103	CN_C69598399	CN_C69598399M3103	3103	CN_C69598399M3083	16	0.0683760683760684	0	202	chosen	10990	no	202
147	CN_C69604239M3270	CN_C69604239	CN_C69604239M3270	3270	NA	NA	NA	NA	234	single		NA	234
148	CN_C69604429M538	CN_C69604429	CN_C69604429M538	538	NA	NA	NA	NA	234	single		NA	234
149	CN_C69611485M4825	CN_C69611485	CN_C69611485M4825	4825	NA	NA	NA	NA	234	single		NA	234
150	CN_C69618231M915	CN_C69618231	CN_C69618231M915	915	NA	NA	NA	NA	234	single		NA	234
151	CN_C69621713M3933	CN_C69621713	CN_C69621713M3933	3933	CN_C69621713M3941	25.5	0.108974358974359	0	183	quasi-redundent	41	no	183
152	CN_C69621713M3941	CN_C69621713	CN_C69621713M3941	3941	CN_C69621713M3933	25.5	0.108974358974359	0	183	chosen	10990	no	183
153	CN_C69621713M3942	CN_C69621713	CN_C69621713M3942	3942	CN_C69621713M3933	25.5	0.108974358974359	0	183	quasi-redundent	41	no	183
154	CN_C69641603M1029	CN_C69641603	CN_C69641603M1029	1029	CN_C69641603M1456	34	0.145299145299145	0.0284090909090909	176	small		NA	176
155	CN_C69641603M1456	CN_C69641603	CN_C69641603M1456	1456	CN_C69641603M1029	34	0.145299145299145	0.0284090909090909	176	small		NA	176
156	CN_C69641935M3087	CN_C69641935	CN_C69641935M3087	3087	NA	NA	NA	NA	234	single		NA	234
157	CN_C69647458M6024	CN_C69647458	CN_C69647458M6024	6024	NA	NA	NA	NA	234	single		NA	234
158	CN_C69649268M3906	CN_C69649268	CN_C69649268M3906	3906	CN_C69649268M3916	17	0.0726495726495727	0.00495049504950495	202	small		NA	202
159	CN_C69649268M3916	CN_C69649268	CN_C69649268M3916	3916	CN_C69649268M3906	17	0.0726495726495727	0.00495049504950495	202	small		NA	202
160	CN_C69655430M516	CN_C69655430	CN_C69655430M516	516	NA	NA	NA	NA	234	single		NA	234
161	CN_C69658956M2617	CN_C69658956	CN_C69658956M2617	2617	NA	NA	NA	NA	234	single		NA	234
162	CN_C69659812M6869	CN_C69659812	CN_C69659812M6869	6869	CN_C69659812M8762	23	0.0982905982905983	0.03	200	small		NA	200
163	CN_C69659812M8762	CN_C69659812	CN_C69659812M8762	8762	CN_C69659812M6869	23	0.0982905982905983	0.03	200	small		NA	200
164	CN_C69662686M5323	CN_C69662686	CN_C69662686M5323	5323	NA	NA	NA	NA	234	single		NA	234
165	CN_C69663704M6878	CN_C69663704	CN_C69663704M6878	6878	CN_C69663704M8628	34	0.145299145299145	0.0337078651685393	178	small		NA	178
166	CN_C69663704M8628	CN_C69663704	CN_C69663704M8628	8628	CN_C69663704M8748	31	0.132478632478632	0.0376344086021505	186	small		NA	186
167	CN_C69663704M8748	CN_C69663704	CN_C69663704M8748	8748	CN_C69663704M8628	31	0.132478632478632	0.0376344086021505	186	small		NA	186
168	CN_C69665414M64	CN_C69665414	CN_C69665414M64	64	NA	NA	NA	NA	234	single		NA	234
169	CN_C69666570M1285	CN_C69666570	CN_C69666570M1285	1285	CN_C69666570M1293	18	0.0769230769230769	0	198	chosen	NA	yes	202
170	CN_C69666570M1293	CN_C69666570	CN_C69666570M1293	1293	CN_C69666570M1285	18	0.0769230769230769	0	198	swaped	9220	yes	201
171	CN_S000001M42227	CN_S000001	CN_S000001M42227	42227	CN_S000001M171338	39	0.166666666666667	0.0465116279069767	172	small		NA	172
172	CN_S000001M171338	CN_S000001	CN_S000001M171338	171338	CN_S000001M42227	39	0.166666666666667	0.0465116279069767	172	small		NA	172
173	CN_S000008M39016	CN_S000008	CN_S000008M39016	39016	CN_S000008M39036	11.5	0.0491452991452991	0	211	chosen	NA	yes	212
174	CN_S000008M39036	CN_S000008	CN_S000008M39036	39036	CN_S000008M39016	11.5	0.0491452991452991	0	211	swaped	46	yes	211
175	CN_S000008M152260	CN_S000008	CN_S000008M152260	152260	CN_S000008M646123	19	0.0811965811965812	0.0242718446601942	206	small		NA	206
176	CN_S000008M516575	CN_S000008	CN_S000008M516575	516575	CN_S000008M646123	27.5	0.117521367521368	0.0162162162162162	185	small		NA	185
177	CN_S000008M551008	CN_S000008	CN_S000008M551008	551008	CN_S000008M646123	23.5	0.10042735042735	0.0394088669950739	203	small		NA	203
178	CN_S000008M551048	CN_S000008	CN_S000008M551048	551048	CN_S000008M646123	20	0.0854700854700855	0.0198019801980198	202	small		NA	202
179	CN_S000008M562220	CN_S000008	CN_S000008M562220	562220	CN_S000008M720338	41.5	0.177350427350427	0.0251572327044025	159	small		NA	159
180	CN_S000008M646123	CN_S000008	CN_S000008M646123	646123	CN_S000008M646125	4.5	0.0192307692307692	0	225	quasi-redundent	54	no	229
181	CN_S000008M646125	CN_S000008	CN_S000008M646125	646125	CN_S000008M646123	4.5	0.0192307692307692	0	225	chosen	10990	no	229
182	CN_S000008M659208	CN_S000008	CN_S000008M659208	659208	CN_S000008M771159	40	0.170940170940171	0.00641025641025641	156	small		NA	156
183	CN_S000008M659272	CN_S000008	CN_S000008M659272	659272	CN_S000008M659313	18.5	0.0790598290598291	0	197	quasi-redundent	57	no	224
184	CN_S000008M659313	CN_S000008	CN_S000008M659313	659313	CN_S000008M659272	18.5	0.0790598290598291	0	197	chosen	10990	no	224
185	CN_S000008M720338	CN_S000008	CN_S000008M720338	720338	CN_S000008M720361	10	0.0427350427350427	0	214	quasi-redundent	59	no	222
186	CN_S000008M720361	CN_S000008	CN_S000008M720361	720361	CN_S000008M720338	10	0.0427350427350427	0	214	chosen	10990	no	222
187	CN_S000008M735437	CN_S000008	CN_S000008M735437	735437	CN_S000008M735496	8	0.0341880341880342	0	218	quasi-redundent	61	no	229
188	CN_S000008M735496	CN_S000008	CN_S000008M735496	735496	CN_S000008M735437	8	0.0341880341880342	0	218	chosen	10990	no	229
189	CN_S000008M767124	CN_S000008	CN_S000008M767124	767124	CN_S000008M646123	15	0.0641025641025641	0.0233644859813084	214	small		NA	214
190	CN_S000008M769055	CN_S000008	CN_S000008M769055	769055	CN_S000008M646123	40.5	0.173076923076923	0.0363636363636364	165	small		NA	165
191	CN_S000008M771159	CN_S000008	CN_S000008M771159	771159	CN_S000008M646123	24	0.102564102564103	0.0255102040816327	196	small		NA	196
192	CN_S000008M854668	CN_S000008	CN_S000008M854668	854668	CN_S000008M646123	35.5	0.151709401709402	0.0594594594594595	185	large		NA	185
193	CN_S000008M859444	CN_S000008	CN_S000008M859444	859444	CN_S000008M859455	27.5	0.117521367521368	0	179	quasi-redundent	67	no	215
194	CN_S000008M859455	CN_S000008	CN_S000008M859455	859455	CN_S000008M859444	27.5	0.117521367521368	0	179	chosen	10990	no	215
195	CN_S000008M859471	CN_S000008	CN_S000008M859471	859471	CN_S000008M937798	35.5	0.151709401709402	0.0546448087431694	183	large		NA	183
196	CN_S000008M859472	CN_S000008	CN_S000008M859472	859472	CN_S000008M859477	14	0.0598290598290598	0	206	quasi-redundent	70	no	206
197	CN_S000008M859477	CN_S000008	CN_S000008M859477	859477	CN_S000008M859472	14	0.0598290598290598	0	206	chosen	10990	no	206
198	CN_S000008M859481	CN_S000008	CN_S000008M859481	859481	CN_S000008M859472	14	0.0598290598290598	0	206	quasi-redundent	70	no	206
199	CN_S000008M859491	CN_S000008	CN_S000008M859491	859491	CN_S000008M859472	14	0.0598290598290598	0	206	quasi-redundent	70	no	206
200	CN_S000008M859535	CN_S000008	CN_S000008M859535	859535	CN_S000008M859472	14	0.0598290598290598	0	206	quasi-redundent	70	no	206
201	CN_S000008M859545	CN_S000008	CN_S000008M859545	859545	CN_S000008M859472	14	0.0598290598290598	0	206	quasi-redundent	70	no	206
202	CN_S000008M937798	CN_S000008	CN_S000008M937798	937798	CN_S000008M646123	20	0.0854700854700855	0.0336538461538462	208	small		NA	208
203	CN_S000008M959668	CN_S000008	CN_S000008M959668	959668	CN_S000008M937798	31	0.132478632478632	0.0520833333333333	192	large		NA	192
204	CN_S000008M1023366	CN_S000008	CN_S000008M1023366	1023366	CN_S000008M937798	38	0.162393162393162	0.0297619047619048	168	small		NA	168
205	CN_S000008M1057104	CN_S000008	CN_S000008M1057104	1057104	CN_S000008M1057131	22.5	0.0961538461538462	0	189	quasi-redundent	79	no	218
206	CN_S000008M1057131	CN_S000008	CN_S000008M1057131	1057131	CN_S000008M1057104	22.5	0.0961538461538462	0	189	chosen	10990	no	218
207	CN_S000008M1057160	CN_S000008	CN_S000008M1057160	1057160	CN_S000008M937798	35	0.14957264957265	0.0232558139534884	172	small		NA	172
208	CN_S000008M1124239	CN_S000008	CN_S000008M1124239	1124239	CN_S000008M646123	28	0.11965811965812	0.016304347826087	184	small		NA	184
209	CN_S000008M1246415	CN_S000008	CN_S000008M1246415	1246415	CN_S000008M646123	19.5	0.0833333333333333	0.0334928229665072	209	small		NA	209
210	CN_S000008M1324135	CN_S000008	CN_S000008M1324135	1324135	CN_S000008M2395102	37	0.158119658119658	0.0348837209302326	172	small		NA	172
